Date,Video views,Reached audience,Profile views,Likes,Shares,Comments,Product link clicks,Product link complete payment,Product link GMV,Website clicks ,Phone number clicks ,App download link clicks,Net growth,New followers,Lost followers
2024/05/01,3448,2804,19,57,2,0,0,0,0,0,0,0,35,35,0
2024/05/02,2997,2413,9,70,1,0,0,0,0,0,0,0,29,29,0
2024/05/03,3185,2605,11,32,3,0,0,0,0,0,0,0,21,23,2
2024/05/04,4868,4295,17,42,0,0,0,0,0,0,0,0,23,23,0
2024/05/05,99,88,1,2,0,0,0,0,0,0,0,0,1,1,0
2024/05/06,153,1,3,1,0,0,0,0,0,0,0,0,1,1,0
2024/05/07,184,165,1,2,0,0,0,0,0,0,0,0,0,0,0
2024/05/08,99,NAN,0,0,0,0,0,0,0,0,0,0,0,1,1
2024/05/09,612,573,2,18,0,0,0,0,0,0,0,0,1,1,0
2024/05/10,49,NAN,3,0,0,0,0,0,0,0,0,0,1,3,2
2024/05/11,45,NAN,1,0,0,0,0,0,0,1,0,0,0,0,0
2024/05/12,87,76,2,1,0,0,0,0,0,0,0,0,1,1,0
2024/05/13,2,NAN,0,0,0,0,0,0,0,0,0,0,-2,0,2
2024/05/14,6,NAN,1,0,0,0,0,0,0,0,0,0,0,0,0
2024/05/15,734,708,12,33,0,0,0,0,0,0,0,0,1,3,2
2024/05/16,127,14,1,1,0,0,0,0,0,0,0,0,0,2,2
2024/05/17,17,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/05/18,4,NAN,0,-1,0,0,0,0,0,1,0,0,-2,0,2
2024/05/19,9,1,0,1,0,0,0,0,0,0,0,0,-1,0,1
2024/05/20,10,NAN,1,0,0,0,0,0,0,0,0,0,-1,0,1
2024/05/21,11,NAN,0,0,0,0,0,0,0,0,0,0,-2,0,2
2024/05/22,5,NAN,0,0,0,0,0,0,0,0,0,0,-2,0,2
2024/05/23,11,NAN,0,0,0,0,0,0,0,0,0,0,1,1,0
2024/05/24,21,NAN,1,-1,0,0,0,0,0,0,0,0,-1,0,1
2024/05/25,0,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/05/26,4,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/05/27,8,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/05/28,12,7,3,1,0,0,0,0,0,0,0,0,-1,0,1